path/symbol	source excerpt	semantic category	producer	consumer	proposed action	compatibility rationale	affected proof	source SHA-256
contracts/citadel-formation-claim-custody.md:48	`FormationJournal::change` uses `Persistence/AtomicTransition` scope `citadel-formation`, immutable hash-chain generations, flushed/fsynced temporary frame and rename before return. Hashes detect byte changes; trusted root custody, not an unkeyed hash, establishes retained authority. Every process must share that root and lock protocol. Administrative rollback, malicious filesystem writers, old binaries bypassing the protocol, power-loss/directory-fsync guarantees and malicious adapters are outside this proof.	persisted/signed/wire identity	Author/source at Git blob e8565ed85d056bb2cb347400505524c8a260b1d2	Exact consumers and retained categories in compatibility contract	retain exact format and one domain	No identity, lock, registry, budget or replay split	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	8d713fe45d476d47938a1b7e2b39726c312542b821c125edbda123b90946dc20
contracts/citadel-formation-command.schema.json:3	"""$id"": ""https://imperium.invalid/contracts/citadel-formation-command.schema.json"","	persisted/signed/wire identity	Author/source at Git blob 4308769c4e86be0f25b94deb3c69f75c2f08eb4b	Exact consumers and retained categories in compatibility contract	retain exact format and one domain	No identity, lock, registry, budget or replay split	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	858be3a8e01236d7f4fafdfa8a05980339fcc482f9eade2bc77bde4c262ad9d2
contracts/citadel-formation-command.schema.json:4	"""title"": ""Citadel formation command protocol v1"","	enclosing Citadel	Author/source at Git blob 4308769c4e86be0f25b94deb3c69f75c2f08eb4b	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	858be3a8e01236d7f4fafdfa8a05980339fcc482f9eade2bc77bde4c262ad9d2
contracts/citadel-formation-command.schema.json:94	"""const"": ""appoint-castellan"""	proposed future oversight / prior interview allocation	Author/source at Git blob 4308769c4e86be0f25b94deb3c69f75c2f08eb4b	Exact consumers and retained categories in compatibility contract	current doctrine successor; retain history	Castellan oversight deferred; no powers	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	858be3a8e01236d7f4fafdfa8a05980339fcc482f9eade2bc77bde4c262ad9d2
contracts/citadel-formation-command.schema.json:623	"""citadel_id"","	persisted/signed/wire identity	Author/source at Git blob 4308769c4e86be0f25b94deb3c69f75c2f08eb4b	Exact consumers and retained categories in compatibility contract	retain exact format and one domain	No identity, lock, registry, budget or replay split	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	858be3a8e01236d7f4fafdfa8a05980339fcc482f9eade2bc77bde4c262ad9d2
contracts/citadel-formation-command.schema.json:633	"""const"": ""imperium.citadel-owner-decision/v1"""	enclosing Citadel	Author/source at Git blob 4308769c4e86be0f25b94deb3c69f75c2f08eb4b	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	858be3a8e01236d7f4fafdfa8a05980339fcc482f9eade2bc77bde4c262ad9d2
contracts/citadel-formation-command.schema.json:635	"""citadel_id"": {"	persisted/signed/wire identity	Author/source at Git blob 4308769c4e86be0f25b94deb3c69f75c2f08eb4b	Exact consumers and retained categories in compatibility contract	retain exact format and one domain	No identity, lock, registry, budget or replay split	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	858be3a8e01236d7f4fafdfa8a05980339fcc482f9eade2bc77bde4c262ad9d2
contracts/citadel-formation-runtime.md:1	# Citadel formation runtime, version 1	enclosing Citadel	Author/source at Git blob 757f1c785e400c705ee89561076b86e6c2c37fdc	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	e704b46977f3ca090196b28628d05f6d0e662b875d93c7eaabb3bfae13a76cb4
contracts/citadel-formation-runtime.md:3	FC0–FC3 adds the versioned [formation claim custody contract](citadel-formation-claim-custody.md): optional exact signed transport terms, v2 prepared claims, durable one-use custody and default-dormant adapter seams. Existing v1 evidence/recovery remains unchanged; no live authority or B1 amendment follows.	persisted/signed/wire identity	Author/source at Git blob 757f1c785e400c705ee89561076b86e6c2c37fdc	Exact consumers and retained categories in compatibility contract	retain exact format and one domain	No identity, lock, registry, budget or replay split	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	e704b46977f3ca090196b28628d05f6d0e662b875d93c7eaabb3bfae13a76cb4
contracts/citadel-formation-runtime.md:6	[decisions](../docs/citadel-mission-formation-decisions.md). It does not enroll a	enclosing Citadel	Author/source at Git blob 757f1c785e400c705ee89561076b86e6c2c37fdc	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	e704b46977f3ca090196b28628d05f6d0e662b875d93c7eaabb3bfae13a76cb4
contracts/citadel-formation-runtime.md:12	`citadel.castellan` is a Citadel Seat for reception, relevance judgment, bounded	proposed future oversight / prior interview allocation	Author/source at Git blob 757f1c785e400c705ee89561076b86e6c2c37fdc	Exact consumers and retained categories in compatibility contract	current doctrine successor; retain history	Castellan oversight deferred; no powers	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	e704b46977f3ca090196b28628d05f6d0e662b875d93c7eaabb3bfae13a76cb4
contracts/citadel-formation-runtime.md:16	retired architecture's intake allocation only. The Castellan prohibitions in the	proposed future oversight / prior interview allocation	Author/source at Git blob 757f1c785e400c705ee89561076b86e6c2c37fdc	Exact consumers and retained categories in compatibility contract	current doctrine successor; retain history	Castellan oversight deferred; no powers	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	e704b46977f3ca090196b28628d05f6d0e662b875d93c7eaabb3bfae13a76cb4
contracts/citadel-formation-runtime.md:48	Castellan and the formation Locksmith have separately signed appointment terms:	proposed future oversight / prior interview allocation	Author/source at Git blob 757f1c785e400c705ee89561076b86e6c2c37fdc	Exact consumers and retained categories in compatibility contract	current doctrine successor; retain history	Castellan oversight deferred; no powers	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	e704b46977f3ca090196b28628d05f6d0e662b875d93c7eaabb3bfae13a76cb4
contracts/citadel-formation-runtime.md:52	them. Citadel, intake, parent instance, mission and child Curia identities remain	enclosing Citadel	Author/source at Git blob 757f1c785e400c705ee89561076b86e6c2c37fdc	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	e704b46977f3ca090196b28628d05f6d0e662b875d93c7eaabb3bfae13a76cb4
contracts/citadel-formation-runtime.md:53	distinct. Storage-generated Citadel identity is not a new Imperium principal.	enclosing Citadel	Author/source at Git blob 757f1c785e400c705ee89561076b86e6c2c37fdc	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	e704b46977f3ca090196b28628d05f6d0e662b875d93c7eaabb3bfae13a76cb4
contracts/citadel-formation-runtime.md:63	object digest, Citadel identity, trust fingerprint, time bounds and revocation.	enclosing Citadel	Author/source at Git blob 757f1c785e400c705ee89561076b86e6c2c37fdc	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	e704b46977f3ca090196b28628d05f6d0e662b875d93c7eaabb3bfae13a76cb4
contracts/citadel-formation-runtime.md:69	"""schema"": ""imperium.citadel-owner-decision/v1"","	persisted/signed/wire identity	Author/source at Git blob 757f1c785e400c705ee89561076b86e6c2c37fdc	Exact consumers and retained categories in compatibility contract	retain exact format and one domain	No identity, lock, registry, budget or replay split	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	e704b46977f3ca090196b28628d05f6d0e662b875d93c7eaabb3bfae13a76cb4
contracts/citadel-formation-runtime.md:70	"""citadel_id"": ""<returned-storage-identity>"","	persisted/signed/wire identity	Author/source at Git blob 757f1c785e400c705ee89561076b86e6c2c37fdc	Exact consumers and retained categories in compatibility contract	retain exact format and one domain	No identity, lock, registry, budget or replay split	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	e704b46977f3ca090196b28628d05f6d0e662b875d93c7eaabb3bfae13a76cb4
contracts/citadel-formation-runtime.md:170	and revocation checks with the bounded local receipt write under the Citadel	enclosing Citadel	Author/source at Git blob 757f1c785e400c705ee89561076b86e6c2c37fdc	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	e704b46977f3ca090196b28628d05f6d0e662b875d93c7eaabb3bfae13a76cb4
contracts/citadel-formation-runtime.md:172	The receipt retains `imperium.citadel-child-publication/v1`: the exact journal	enclosing Citadel	Author/source at Git blob 757f1c785e400c705ee89561076b86e6c2c37fdc	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	e704b46977f3ca090196b28628d05f6d0e662b875d93c7eaabb3bfae13a76cb4
contracts/citadel-formation-runtime.md:226	development actors do not become authentic Citadel owner decisions. The retired	enclosing Citadel	Author/source at Git blob 757f1c785e400c705ee89561076b86e6c2c37fdc	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	e704b46977f3ca090196b28628d05f6d0e662b875d93c7eaabb3bfae13a76cb4
contracts/citadel-mission-intake.md:1	# Citadel mission intake, proposal and Curia handoff	enclosing Citadel	Author/source at Git blob 4b05ee8cb21e25136b9a67f6ae7f08f75455bd5a	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	d4bf6918108f55990494bd3784d28fe7b8271c401e57829dadee49b9522b983f
contracts/citadel-mission-intake.md:7	Implementation decisions provisionally accepted after Citadel Batch 0:	enclosing Citadel	Author/source at Git blob 4b05ee8cb21e25136b9a67f6ae7f08f75455bd5a	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	d4bf6918108f55990494bd3784d28fe7b8271c401e57829dadee49b9522b983f
contracts/citadel-mission-intake.md:8	[citadel-mission-formation-decisions.md](../docs/citadel-mission-formation-decisions.md).	enclosing Citadel	Author/source at Git blob 4b05ee8cb21e25136b9a67f6ae7f08f75455bd5a	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	d4bf6918108f55990494bd3784d28fe7b8271c401e57829dadee49b9522b983f
contracts/citadel-mission-intake.md:12	Citadel receives requests across its Curia instances, discusses them with the	enclosing Citadel	Author/source at Git blob 4b05ee8cb21e25136b9a67f6ae7f08f75455bd5a	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	d4bf6918108f55990494bd3784d28fe7b8271c401e57829dadee49b9522b983f
contracts/citadel-mission-intake.md:14	handoff of approved missions to new mission-specific Curiae. Citadel coordinates	enclosing Citadel	Author/source at Git blob 4b05ee8cb21e25136b9a67f6ae7f08f75455bd5a	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	d4bf6918108f55990494bd3784d28fe7b8271c401e57829dadee49b9522b983f
contracts/citadel-mission-intake.md:29	Citadel's interview, relevance judgment and proposal preparation belong to	enclosing Citadel	Author/source at Git blob 4b05ee8cb21e25136b9a67f6ae7f08f75455bd5a	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	d4bf6918108f55990494bd3784d28fe7b8271c401e57829dadee49b9522b983f
contracts/citadel-mission-intake.md:30	Castellan, its owner-selected cognitive officer. Implementation must establish	proposed future oversight / prior interview allocation	Author/source at Git blob 4b05ee8cb21e25136b9a67f6ae7f08f75455bd5a	Exact consumers and retained categories in compatibility contract	current doctrine successor; retain history	Castellan oversight deferred; no powers	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	d4bf6918108f55990494bd3784d28fe7b8271c401e57829dadee49b9522b983f
contracts/citadel-mission-intake.md:39	1. **Receive and route.** Preserve the exact request at Citadel. Identify existing	enclosing Citadel	Author/source at Git blob 4b05ee8cb21e25136b9a67f6ae7f08f75455bd5a	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	d4bf6918108f55990494bd3784d28fe7b8271c401e57829dadee49b9522b983f
contracts/citadel-mission-intake.md:42	2. **Understand the request and compare existing work.** The competent Citadel	enclosing Citadel	Author/source at Git blob 4b05ee8cb21e25136b9a67f6ae7f08f75455bd5a	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	d4bf6918108f55990494bd3784d28fe7b8271c401e57829dadee49b9522b983f
contracts/citadel-mission-intake.md:63	6. **Draft and present at Citadel.** After drafting approval, Citadel prepares	enclosing Citadel	Author/source at Git blob 4b05ee8cb21e25136b9a67f6ae7f08f75455bd5a	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	d4bf6918108f55990494bd3784d28fe7b8271c401e57829dadee49b9522b983f
contracts/citadel-mission-intake.md:76	Retain canonical Citadel records and bind the Curia's mission copy to them.	enclosing Citadel	Author/source at Git blob 4b05ee8cb21e25136b9a67f6ae7f08f75455bd5a	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	d4bf6918108f55990494bd3784d28fe7b8271c401e57829dadee49b9522b983f
contracts/citadel-mission-intake.md:90	Citadel owns one shared intake/mission coordination record with registered	enclosing Citadel	Author/source at Git blob 4b05ee8cb21e25136b9a67f6ae7f08f75455bd5a	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	d4bf6918108f55990494bd3784d28fe7b8271c401e57829dadee49b9522b983f
contracts/citadel-mission-intake.md:132	Seneschal acceptance preserve source Citadel and target Curia authority scopes.	enclosing Citadel	Author/source at Git blob 4b05ee8cb21e25136b9a67f6ae7f08f75455bd5a	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	d4bf6918108f55990494bd3784d28fe7b8271c401e57829dadee49b9522b983f
contracts/citadel-mission-intake.md:139	their names do not establish compliance with Citadel-led intake.	enclosing Citadel	Author/source at Git blob 4b05ee8cb21e25136b9a67f6ae7f08f75455bd5a	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	d4bf6918108f55990494bd3784d28fe7b8271c401e57829dadee49b9522b983f
contracts/delegate-mission-bounded-cognition-turn.md:3	Step 66 consumes exactly one scoped provider activation, credential lease, and turn authority. Before invocation, Citadel revalidates the sealed commission, model binding, access attestation, target, runtime mapping, expiry, and single-turn constraints.	enclosing Citadel	Author/source at Git blob 96355dd3fde31153a4b0017d3de4910cdd74b0bb	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	4633d80e93122757463fb21d8c7c300c82d5ceba89e74817532a03e5bb7d87f8
contracts/imperator-planning-dossier-review.md:5	Approval consumes review authority and opens only Mission Authorization derivation authority; it is not execution authority. Objection consumes review authority, blocks advancement, and opens a bounded revision authority for the competent proposal owner (Citadel for new missions, Curia for its existing mission) carrying the cited lines. The original dossier and its numbering remain immutable evidence. Any revision is a new version and digest.	enclosing Citadel	Author/source at Git blob 04b98d94cd802dfc3bd63e6785ef99744912e876	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	03159c8b86f0a72571a16b17608527c8641a8d58ca4f7b089d7ac085365fef13
contracts/imperator-planning-dossier-review.md:8	before Citadel reuse. This mission-proposal review does not replace the earlier,	enclosing Citadel	Author/source at Git blob 04b98d94cd802dfc3bd63e6785ef99744912e876	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	03159c8b86f0a72571a16b17608527c8641a8d58ca4f7b089d7ac085365fef13
contracts/imperator-planning-dossier-review.md:9	separate Imperator approval required to begin drafting under /contracts/citadel-mission-intake.md.	enclosing Citadel	Author/source at Git blob 04b98d94cd802dfc3bd63e6785ef99744912e876	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	03159c8b86f0a72571a16b17608527c8641a8d58ca4f7b089d7ac085365fef13
contracts/mission-planning.md:6	For new missions, [Citadel mission intake](citadel-mission-intake.md) governs	enclosing Citadel	Author/source at Git blob e1720818562ae6c43c20a9b7988ab9f29c1bc3ff	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	34e9729f166aa4443f892edd064de4cdd60852040b22f8b183c12d56f25103d0
contracts/mission-planning.md:7	ownership: Citadel receives, discusses overlap, interviews, requests drafting	enclosing Citadel	Author/source at Git blob e1720818562ae6c43c20a9b7988ab9f29c1bc3ff	Exact consumers and retained categories in compatibility contract	retain enclosing jurisdiction; current reception pointer	Citadel identity is distinct from Courtyard function	CourtyardIdentityTest; FormationClaimCustodyTest; existing formation/native/coverage gates	34e9729f166aa4443f892edd064de4cdd60852040b22f8b183c12d56f25103d0
